sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
3.084;0.473;8.369;3.893;-1.39;-1.019;-0.703;-0.271;0.386;-8.9;-38.1;-24.1;4;2020-06-14 10:17:16:357
3.084;0.473;8.369;3.893;-1.39;-1.019;-0.588;-0.108;0.286;-9.2;-37.6;-25.0;15;2020-06-14 10:17:16:368
4.058;1.301;10.353;4.775;-0.417;0.931;-0.588;-0.108;0.286;-9.2;-37.6;-25.0;25;2020-06-14 10:17:16:378
4.058;1.301;10.353;4.775;-0.417;0.931;-0.588;-0.108;0.286;-9.2;-37.6;-25.0;34;2020-06-14 10:17:16:387
4.058;1.301;10.353;4.775;-0.417;0.931;-0.252;-0.519;0.636;-9.2;-37.6;-25.0;44;2020-06-14 10:17:16:397
6.116;-0.496;10.482;6.63;-2.139;1.03;-0.252;-0.519;0.636;-10.1;-36.7;-25.9;54;2020-06-14 10:17:16:407
6.116;-0.496;10.482;6.63;-2.139;1.03;-0.252;-0.519;0.636;-10.1;-36.7;-25.9;64;2020-06-14 10:17:16:417
6.116;-0.496;10.482;6.63;-2.139;1.03;-0.124;-0.348;0.389;-10.1;-36.7;-25.9;74;2020-06-14 10:17:16:427
5.238;0.33;9.07;5.573;-1.269;-0.395;-0.124;-0.348;0.389;-10.7;-36.9;-24.4;84;2020-06-14 10:17:16:437
5.238;0.33;9.07;5.573;-1.269;-0.395;-0.124;-0.348;0.389;-10.7;-36.9;-24.4;96;2020-06-14 10:17:16:449
5.238;0.33;9.07;5.573;-1.269;-0.395;-0.124;-0.348;0.389;-10.7;-36.9;-24.4;104;2020-06-14 10:17:16:457
5.094;1.452;9.221;5.326;-0.011;-0.263;-0.797;-0.108;0.145;-11.9;-35.6;-25.9;115;2020-06-14 10:17:16:468
5.094;1.452;9.221;5.326;-0.011;-0.263;-0.797;-0.108;0.145;-11.9;-35.6;-25.9;124;2020-06-14 10:17:16:477
5.52;0.081;11.937;5.734;-1.096;2.405;-0.797;-0.108;0.145;-11.9;-35.6;-25.9;134;2020-06-14 10:17:16:487
5.52;0.081;11.937;5.734;-1.096;2.405;-1.093;0.246;-0.516;-11.0;-36.5;-25.6;144;2020-06-14 10:17:16:497
5.52;0.081;11.937;5.734;-1.096;2.405;-1.093;0.246;-0.516;-11.0;-36.5;-25.6;154;2020-06-14 10:17:16:507
3.311;-0.007;12.97;3.09;-0.746;3.38;-1.093;0.246;-0.516;-11.0;-36.5;-25.6;164;2020-06-14 10:17:16:517
3.311;-0.007;12.97;3.09;-0.746;3.38;-1.092;-0.001;-1.009;-11.0;-36.5;-25.6;175;2020-06-14 10:17:16:528
3.311;-0.007;12.97;3.09;-0.746;3.38;-1.092;-0.001;-1.009;-9.8;-34.4;-28.0;184;2020-06-14 10:17:16:537
2.28;0.229;13.463;3.09;-0.746;3.38;-1.092;-0.001;-1.009;-9.8;-34.4;-28.0;194;2020-06-14 10:17:16:547
2.28;0.229;13.463;2.635;-0.344;4.074;-1.092;-0.001;-1.009;-9.8;-34.4;-28.0;204;2020-06-14 10:17:16:557
2.28;0.229;13.463;2.635;-0.344;4.074;-1.205;-0.344;-0.995;-8.6;-34.4;-28.6;214;2020-06-14 10:17:16:567
2.134;-0.022;14.518;2.635;-0.344;4.074;-1.205;-0.344;-0.995;-8.6;-34.4;-28.6;224;2020-06-14 10:17:16:577
2.134;-0.022;14.518;1.848;-0.372;5.145;-1.205;-0.344;-0.995;-8.6;-34.4;-28.6;235;2020-06-14 10:17:16:588
1.048;-0.153;15.394;1.848;-0.372;5.145;-1.204;-0.338;-1.052;-8.6;-34.4;-29.8;245;2020-06-14 10:17:16:598
1.048;-0.153;15.394;1.848;-0.372;5.145;-1.204;-0.338;-1.052;-8.6;-34.4;-29.8;255;2020-06-14 10:17:16:608
1.048;-0.153;15.394;0.709;0.158;6.21;-1.204;-0.338;-1.052;-8.6;-34.4;-29.8;264;2020-06-14 10:17:16:617
0.215;-0.11;16.885;0.709;0.158;6.21;-0.921;-0.185;-1.104;-7.4;-33.6;-31.3;274;2020-06-14 10:17:16:627
0.215;-0.11;16.885;-0.532;0.228;7.662;-0.921;-0.185;-1.104;-7.4;-33.6;-31.3;285;2020-06-14 10:17:16:638
0.215;-0.11;16.885;-0.532;0.228;7.662;-0.921;-0.185;-1.104;-7.4;-33.6;-31.3;295;2020-06-14 10:17:16:648
-1.331;-0.264;17.457;-0.532;0.228;7.662;-0.319;-0.216;-1.138;-5.3;-34.3;-31.3;305;2020-06-14 10:17:16:658
-1.331;-0.264;17.457;-1.612;0.24;7.288;-0.319;-0.216;-1.138;-5.3;-34.3;-31.3;315;2020-06-14 10:17:16:668
-1.331;-0.264;17.457;-1.612;0.24;7.288;-0.319;-0.216;-1.138;-5.3;-34.3;-31.3;325;2020-06-14 10:17:16:678
