ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.9301,-0.3769,1.6212,-1.2813,3.7088,8.9874,-1.4834,-4.2775,-6.8214,-0.3637,0.3834,-0.1725,22.53,23.88,-32.56,333.16,-22.22,8.11,12,2020-06-27 14:48:16:493
-2.6942,-0.8222,2.9105,-1.2813,3.7088,8.9874,-1.4834,-4.2775,-6.8214,-0.3637,0.3834,-0.1725,22.53,23.88,-32.56,333.16,-22.22,8.11,22,2020-06-27 14:48:16:503
-2.6942,-0.8222,2.9105,-1.3929,3.5615,9.0303,-1.4834,-4.2775,-6.8214,-0.369,0.0021,-0.4048,22.53,23.88,-32.56,333.16,-22.22,8.11,31,2020-06-27 14:48:16:512
-3.4556,-0.9802,3.6875,-1.3929,3.5615,9.0303,-1.4834,-4.2775,-6.8214,-0.369,0.0021,-0.4048,22.53,23.88,-32.56,333.16,-22.22,8.11,42,2020-06-27 14:48:16:523
-3.4556,-0.9802,3.6875,-1.3929,3.5615,9.0303,-2.0239,-4.4777,-5.2708,-0.369,0.0021,-0.4048,21.55,28.04,-32.69,333.16,-22.22,8.11,51,2020-06-27 14:48:16:532
-3.4556,-0.9802,3.6875,-1.3386,3.5133,9.0573,-2.0239,-4.4777,-5.2708,0.1348,-0.6478,-0.409,21.55,28.04,-32.69,333.16,-22.22,8.11,62,2020-06-27 14:48:16:543
-3.4795,-1.8445,1.0849,-1.3386,3.5133,9.0573,-2.2565,-5.275,-7.7557,0.1348,-0.6478,-0.409,21.55,28.04,-32.69,333.16,-22.22,8.11,72,2020-06-27 14:48:16:553
-3.4795,-1.8445,1.0849,-1.3386,3.5133,9.0573,-2.2565,-5.275,-7.7557,0.1348,-0.6478,-0.409,21.55,28.04,-32.69,333.16,-22.22,8.11,82,2020-06-27 14:48:16:563
-3.4795,-1.8445,1.0849,-1.2644,3.4493,9.0925,-2.2565,-5.275,-7.7557,0.1348,-0.6478,-0.409,19.08,28.06,-31.96,339.37,-20.59,7.92,92,2020-06-27 14:48:16:573
-2.7601,-2.2527,-0.1912,-1.2644,3.4493,9.0925,-1.4478,-5.4294,-8.7565,-0.7717,-0.1652,0.1524,19.08,28.06,-31.96,339.37,-20.59,7.92,102,2020-06-27 14:48:16:583
-2.7601,-2.2527,-0.1912,-1.2644,3.4493,9.0925,-1.4478,-5.4294,-8.7565,-0.7717,-0.1652,0.1524,19.08,28.06,-31.96,339.37,-20.59,7.92,112,2020-06-27 14:48:16:593
-1.8562,-2.5245,3.3104,-1.1778,3.0678,9.2397,-1.4478,-5.4294,-8.7565,-0.7717,-0.1652,0.1524,19.08,28.06,-31.96,339.37,-20.59,7.92,121,2020-06-27 14:48:16:602
-1.8562,-2.5245,3.3104,-1.1778,3.0678,9.2397,-0.6359,-5.1197,-5.226,-1.8476,-0.6882,0.4389,22.33,29.34,-30.52,339.37,-20.59,7.92,132,2020-06-27 14:48:16:613
-1.8562,-2.5245,3.3104,-1.1778,3.0678,9.2397,-0.6359,-5.1197,-5.226,-1.8476,-0.6882,0.4389,22.33,29.34,-30.52,339.37,-20.59,7.92,142,2020-06-27 14:48:16:623
-1.393,-1.9846,4.5087,-0.9082,2.5214,9.4333,-0.6359,-5.1197,-5.226,-1.8476,-0.6882,0.4389,22.33,29.34,-30.52,339.37,-20.59,7.92,152,2020-06-27 14:48:16:633
-1.393,-1.9846,4.5087,-0.9082,2.5214,9.4333,-0.6359,-5.1197,-5.226,-2.245,-1.0664,0.6466,22.33,29.34,-30.52,339.37,-20.59,7.92,162,2020-06-27 14:48:16:643
-1.393,-1.9846,4.5087,-0.9082,2.5214,9.4333,-0.6359,-5.1197,-5.226,-2.245,-1.0664,0.6466,22.33,29.34,-30.52,339.37,-20.59,7.92,171,2020-06-27 14:48:16:652
-1.0159,-1.8122,5.2916,-0.7363,2.192,9.5301,-0.3449,-3.9673,-4.2875,-2.245,-1.0664,0.6466,21.48,30.02,-26.94,332.1,-12.92,4.42,182,2020-06-27 14:48:16:663
-1.0159,-1.8122,5.2916,-0.7363,2.192,9.5301,-0.3449,-3.9673,-4.2875,-3.0375,-0.9098,1.0695,21.48,30.02,-26.94,332.1,-12.92,4.42,192,2020-06-27 14:48:16:673
