ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.428,2.976,18.503,0.354,2.396,7.895,0.478,0.012,0.149,-4.3,-36.5,-26.2,3,2020-06-14 10:54:56:467
0.461,1.866,16.129,0.354,2.396,7.895,0.921,0.074,0.254,-4.3,-36.5,-26.2,12,2020-06-14 10:54:56:476
0.461,1.866,16.129,0.75,0.917,5.069,0.921,0.074,0.254,-4.3,-36.5,-26.2,22,2020-06-14 10:54:56:486
0.461,1.866,16.129,0.75,0.917,5.069,0.921,0.074,0.254,-4.9,-37.4,-25.9,33,2020-06-14 10:54:56:497
0.713,1.036,14.035,0.75,0.917,5.069,1.123,0.167,0.145,-4.9,-37.4,-25.9,43,2020-06-14 10:54:56:507
0.713,1.036,14.035,0.66,0.056,3.482,1.123,0.167,0.145,-4.9,-37.4,-25.9,53,2020-06-14 10:54:56:517
0.138,1.041,12.183,0.66,0.056,3.482,1.123,0.167,0.145,-4.6,-37.4,-22.3,63,2020-06-14 10:54:56:527
0.138,1.041,12.183,0.228,-0.09,1.367,1.211,0.086,-0.032,-4.6,-37.4,-22.3,73,2020-06-14 10:54:56:537
0.138,1.041,12.183,0.228,-0.09,1.367,1.211,0.086,-0.032,-4.6,-37.4,-22.3,82,2020-06-14 10:54:56:546
0.086,1.076,10.085,0.228,-0.09,1.367,1.211,0.086,-0.032,-4.6,-37.4,-22.3,92,2020-06-14 10:54:56:556
0.086,1.076,10.085,0.215,-0.46,-0.423,1.211,0.086,-0.032,-4.6,-37.4,-22.3,102,2020-06-14 10:54:56:566
0.086,1.076,10.085,0.215,-0.46,-0.423,0.919,-0.097,-0.04,-4.3,-39.1,-21.1,113,2020-06-14 10:54:56:577
-0.024,0.873,8.35,0.215,-0.46,-0.423,0.919,-0.097,-0.04,-4.3,-39.1,-21.1,123,2020-06-14 10:54:56:587
-0.024,0.873,8.35,0.11,-1.08,-1.873,0.919,-0.097,-0.04,-4.3,-39.1,-21.1,133,2020-06-14 10:54:56:597
-0.024,0.873,8.35,0.11,-1.08,-1.873,0.612,0.114,-0.012,-4.3,-39.1,-21.1,143,2020-06-14 10:54:56:607
0.213,0.859,8.362,0.11,-1.08,-1.873,0.612,0.114,-0.012,-5.5,-39.4,-22.3,153,2020-06-14 10:54:56:617
0.213,0.859,8.362,-0.279,-1.063,-2.105,0.612,0.114,-0.012,-5.5,-39.4,-22.3,162,2020-06-14 10:54:56:626
0.213,0.859,8.362,-0.279,-1.063,-2.105,0.612,0.114,-0.012,-5.5,-39.4,-22.3,173,2020-06-14 10:54:56:637
-0.675,0.792,7.491,-0.279,-1.063,-2.105,0.527,0.085,0.065,-5.2,-40.3,-20.2,183,2020-06-14 10:54:56:647
-0.675,0.792,7.491,-0.572,-1.516,-3.153,0.527,0.085,0.065,-5.2,-40.3,-20.2,193,2020-06-14 10:54:56:657
-0.666,0.521,6.086,-0.572,-1.516,-3.153,0.887,0.542,0.116,-5.2,-40.3,-20.2,203,2020-06-14 10:54:56:667
-0.666,0.521,6.086,-0.572,-1.516,-3.153,0.887,0.542,0.116,-5.2,-40.3,-20.2,212,2020-06-14 10:54:56:676
-0.666,0.521,6.086,-0.589,-1.349,-3.739,0.887,0.542,0.116,-5.2,-40.8,-19.3,222,2020-06-14 10:54:56:686
-0.826,1.232,5.71,-0.589,-1.349,-3.739,0.887,0.542,0.116,-5.2,-40.8,-19.3,232,2020-06-14 10:54:56:696
-0.826,1.232,5.71,-0.589,-1.349,-3.739,0.904,0.641,0.148,-5.2,-40.8,-19.3,243,2020-06-14 10:54:56:707
-0.826,1.232,5.71,-0.589,-1.349,-3.739,0.904,0.641,0.148,-5.2,-41.2,-18.7,252,2020-06-14 10:54:56:716
0.457,1.289,5.062,0.745,-0.964,-4.746,0.904,0.641,0.148,-5.2,-41.2,-18.7,263,2020-06-14 10:54:56:727
0.457,1.289,5.062,0.745,-0.964,-4.746,0.544,0.344,0.028,-5.2,-41.2,-18.7,272,2020-06-14 10:54:56:736
0.457,1.289,5.062,1.494,-1.032,-4.001,0.544,0.344,0.028,-5.2,-41.2,-18.7,283,2020-06-14 10:54:56:747
0.966,1.84,5.512,1.494,-1.032,-4.001,0.544,0.344,0.028,-4.6,-42.0,-17.8,293,2020-06-14 10:54:56:757
0.966,1.84,5.512,1.494,-1.032,-4.001,0.09,-0.351,-0.164,-4.6,-42.0,-17.8,303,2020-06-14 10:54:56:767
