ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.3558,0.7419,9.6408,-1.3079,1.025,9.6648,-0.5847,-0.3077,-0.4841,-0.0664,0.3994,0.6408,40.55,-11.81,-21.42,256.71,-5.88,6.08,9,2020-06-18 18:46:00:940
-1.3558,0.7419,9.6408,-1.3079,1.025,9.6648,0.0565,-0.2793,0.1174,-0.0664,0.3994,0.6408,40.55,-11.81,-21.42,256.71,-5.88,6.08,19,2020-06-18 18:46:00:950
-1.2049,0.9096,9.5066,-1.3842,1.0257,9.6541,0.0565,-0.2793,0.1174,-0.0664,0.3994,0.6408,43.48,-11.76,-21.34,257.04,-6.0,7.71,28,2020-06-18 18:46:00:959
-1.2049,0.9096,9.5066,-1.3842,1.0257,9.6541,0.0565,-0.2793,0.1174,-0.0153,0.27,0.5332,43.48,-11.76,-21.34,257.04,-6.0,7.71,39,2020-06-18 18:46:00:970
-1.2049,0.9096,9.5066,-1.3842,1.0257,9.6541,0.4438,-0.0871,-0.4163,-0.0153,0.27,0.5332,43.48,-11.76,-21.34,257.04,-6.0,7.71,48,2020-06-18 18:46:00:979
-0.7857,1.0701,9.3389,-1.4183,1.0312,9.6486,0.4438,-0.0871,-0.4163,-0.0153,0.27,0.5332,42.25,-13.7,-21.51,257.04,-6.0,7.71,59,2020-06-18 18:46:00:990
-0.7857,1.0701,9.3389,-1.4183,1.0312,9.6486,0.4438,-0.0871,-0.4163,-0.0814,0.1933,0.4118,42.25,-13.7,-21.51,257.04,-6.0,7.71,69,2020-06-18 18:46:01:000
-0.7857,1.0701,9.3389,-1.4183,1.0312,9.6486,0.5518,0.0868,0.1644,-0.0814,0.1933,0.4118,42.25,-13.7,-21.51,257.04,-6.0,7.71,78,2020-06-18 18:46:01:009
-1.1474,1.0629,10.2181,-1.4183,1.0312,9.6486,0.5518,0.0868,0.1644,-0.0814,0.1933,0.4118,42.25,-13.7,-21.51,257.04,-6.0,7.71,89,2020-06-18 18:46:01:020
-1.1474,1.0629,10.2181,-1.4142,1.0361,9.6487,0.5518,0.0868,0.1644,0.0539,0.0101,0.3671,41.33,-15.31,-19.81,252.06,-6.06,8.34,98,2020-06-18 18:46:01:029
-1.2864,1.1419,9.4443,-1.4142,1.0361,9.6487,0.0222,0.0737,0.2762,0.0539,0.0101,0.3671,41.33,-15.31,-19.81,252.06,-6.06,8.34,109,2020-06-18 18:46:01:040
-1.2864,1.1419,9.4443,-1.3987,1.0774,9.6464,0.0222,0.0737,0.2762,0.0539,0.0101,0.3671,41.33,-15.31,-19.81,252.06,-6.06,8.34,118,2020-06-18 18:46:01:049
-1.2864,1.1419,9.4443,-1.3987,1.0774,9.6464,0.0222,0.0737,0.2762,0.0119,0.0862,0.4576,43.17,-15.86,-18.98,252.06,-6.06,8.34,128,2020-06-18 18:46:01:059
-0.7905,1.197,9.1066,-1.3987,1.0774,9.6464,0.5585,0.1272,-0.5552,0.0119,0.0862,0.4576,43.17,-15.86,-18.98,252.06,-6.06,8.34,139,2020-06-18 18:46:01:070
-0.7905,1.197,9.1066,-1.3982,1.0894,9.6451,0.5585,0.1272,-0.5552,0.0119,0.0862,0.4576,43.17,-15.86,-18.98,252.06,-6.06,8.34,148,2020-06-18 18:46:01:079
-0.7737,1.3407,9.5833,-1.3982,1.0894,9.6451,0.5585,0.1272,-0.5552,-0.1202,0.1123,0.4081,43.17,-15.86,-18.98,252.06,-6.06,8.34,158,2020-06-18 18:46:01:089
-0.7737,1.3407,9.5833,-1.3982,1.0894,9.6451,0.6359,0.2414,-0.0498,-0.1202,0.1123,0.4081,42.56,-14.99,-19.63,253.15,-6.38,8.25,169,2020-06-18 18:46:01:100
-0.7737,1.3407,9.5833,-1.3775,1.0855,9.6486,0.6359,0.2414,-0.0498,-0.1202,0.1123,0.4081,42.56,-14.99,-19.63,253.15,-6.38,8.25,178,2020-06-18 18:46:01:109
-0.4671,1.3455,9.4324,-1.3775,1.0855,9.6486,0.6359,0.2414,-0.0498,-0.1202,0.1123,0.4081,42.56,-14.99,-19.63,253.15,-6.38,8.25,189,2020-06-18 18:46:01:120
-0.4671,1.3455,9.4324,-1.3775,1.0855,9.6486,0.8828,0.2663,-0.2027,-0.124,0.0335,0.35,42.71,-16.32,-19.76,253.15,-6.38,8.25,198,2020-06-18 18:46:01:129
-0.4671,1.3455,9.4324,-1.3384,1.0781,9.6549,0.8828,0.2663,-0.2027,-0.124,0.0335,0.35,42.71,-16.32,-19.76,253.15,-6.38,8.25,209,2020-06-18 18:46:01:140
-0.6875,1.1156,10.1103,-1.3384,1.0781,9.6549,0.8828,0.2663,-0.2027,-0.124,0.0335,0.35,42.71,-16.32,-19.76,253.15,-6.38,8.25,218,2020-06-18 18:46:01:149
-0.6875,1.1156,10.1103,-1.3384,1.0781,9.6549,0.5931,0.0387,0.5833,-0.0292,0.0143,0.3149,41.48,-16.47,-18.55,250.83,-6.31,7.89,229,2020-06-18 18:46:01:160
-0.6875,1.1156,10.1103,-1.295,1.0875,9.6598,0.5931,0.0387,0.5833,-0.0292,0.0143,0.3149,41.48,-16.47,-18.55,250.83,-6.31,7.89,238,2020-06-18 18:46:01:169
-0.539,1.2234,10.151,-1.295,1.0875,9.6598,0.5931,0.0387,0.5833,-0.0292,0.0143,0.3149,41.48,-16.47,-18.55,250.83,-6.31,7.89,248,2020-06-18 18:46:01:179
-0.539,1.2234,10.151,-1.295,1.0875,9.6598,0.951,-0.0386,0.2071,0.1226,-0.0943,0.3202,40.56,-17.67,-19.03,250.83,-6.31,7.89,258,2020-06-18 18:46:01:189
-0.3905,1.4078,9.1689,-1.2301,1.1347,9.6628,0.951,-0.0386,0.2071,0.1226,-0.0943,0.3202,40.56,-17.67,-19.03,250.83,-6.31,7.89,269,2020-06-18 18:46:01:200
-0.3905,1.4078,9.1689,-1.2301,1.1347,9.6628,0.951,-0.0386,0.2071,0.1226,-0.0943,0.3202,40.56,-17.67,-19.03,250.83,-6.31,7.89,278,2020-06-18 18:46:01:209
-0.3905,1.4078,9.1689,-1.2301,1.1347,9.6628,0.9959,0.1941,-0.5355,0.0784,-0.016,0.3367,40.56,-17.67,-19.03,250.83,-6.31,7.89,289,2020-06-18 18:46:01:220
0.2132,1.3934,8.9101,-1.1665,1.1855,9.6646,0.9959,0.1941,-0.5355,0.0784,-0.016,0.3367,41.33,-19.14,-19.77,247.27,-6.64,7.25,298,2020-06-18 18:46:01:229
0.2132,1.3934,8.9101,-1.1665,1.1855,9.6646,0.9959,0.1941,-0.5355,0.0784,-0.016,0.3367,41.33,-19.14,-19.77,247.27,-6.64,7.25,308,2020-06-18 18:46:01:239
0.2132,1.3934,8.9101,-1.1665,1.1855,9.6646,1.5891,0.2686,-0.6175,-0.0094,-0.1593,0.2552,41.33,-19.14,-19.77,247.27,-6.64,7.25,318,2020-06-18 18:46:01:249
0.757,1.5324,8.8598,-1.0595,1.2067,9.6743,1.5891,0.2686,-0.6175,-0.0094,-0.1593,0.2552,41.64,-16.94,-20.56,247.27,-6.64,7.25,329,2020-06-18 18:46:01:260
0.757,1.5324,8.8598,-1.0595,1.2067,9.6743,1.5891,0.2686,-0.6175,-0.0094,-0.1593,0.2552,41.64,-16.94,-20.56,247.27,-6.64,7.25,338,2020-06-18 18:46:01:269
0.757,1.5324,8.8598,-1.0595,1.2067,9.6743,1.9571,0.3814,-0.7919,-0.149,-0.1929,0.1029,41.64,-16.94,-20.56,247.27,-6.64,7.25,349,2020-06-18 18:46:01:280
1.1834,1.5995,8.776,-0.9732,1.1771,9.687,1.9571,0.3814,-0.7919,-0.149,-0.1929,0.1029,40.87,-17.68,-20.1,248.92,-7.07,6.25,359,2020-06-18 18:46:01:290
1.1834,1.5995,8.776,-0.9732,1.1771,9.687,1.9571,0.3814,-0.7919,-0.149,-0.1929,0.1029,40.87,-17.68,-20.1,248.92,-7.07,6.25,368,2020-06-18 18:46:01:299
1.5403,1.6019,9.4395,-0.9732,1.1771,9.687,2.3195,0.4967,-0.4527,-0.329,-0.1513,-0.0825,40.87,-17.68,-20.1,248.92,-7.07,6.25,379,2020-06-18 18:46:01:310
1.5403,1.6019,9.4395,-0.9008,1.0915,9.704,2.3195,0.4967,-0.4527,-0.329,-0.1513,-0.0825,40.87,-17.68,-20.1,248.92,-7.07,6.25,388,2020-06-18 18:46:01:319
1.5403,1.6019,9.4395,-0.9008,1.0915,9.704,2.3195,0.4967,-0.4527,-0.329,-0.1513,-0.0825,39.18,-17.26,-20.0,248.92,-7.07,6.25,399,2020-06-18 18:46:01:330
1.9164,1.3934,10.1917,-0.9008,1.0915,9.704,2.686,0.4805,0.3909,-0.4137,-0.0357,-0.2742,39.18,-17.26,-20.0,248.92,-7.07,6.25,408,2020-06-18 18:46:01:339
1.9164,1.3934,10.1917,-0.8572,0.9726,9.7206,2.686,0.4805,0.3909,-0.4137,-0.0357,-0.2742,39.18,-17.26,-20.0,248.92,-7.07,6.25,418,2020-06-18 18:46:01:349
1.9164,1.3934,10.1917,-0.8572,0.9726,9.7206,2.686,0.4805,0.3909,-0.4137,-0.0357,-0.2742,40.1,-16.97,-20.9,249.12,-5.69,5.04,429,2020-06-18 18:46:01:360
2.0026,0.9503,10.7642,-0.8572,0.9726,9.7206,2.8343,0.1096,1.0981,-0.4137,-0.0357,-0.2742,40.1,-16.97,-20.9,249.12,-5.69,5.04,438,2020-06-18 18:46:01:369
2.0026,0.9503,10.7642,-0.8356,0.8524,9.7337,2.8343,0.1096,1.0981,-0.3562,0.0287,-0.516,40.1,-16.97,-20.9,249.12,-5.69,5.04,449,2020-06-18 18:46:01:380
2.3236,0.5766,11.126,-0.8356,0.8524,9.7337,2.8343,0.1096,1.0981,-0.3562,0.0287,-0.516,41.48,-16.5,-20.72,249.12,-5.69,5.04,458,2020-06-18 18:46:01:389
2.3236,0.5766,11.126,-0.8356,0.8524,9.7337,3.1538,-0.2278,1.4272,-0.3562,0.0287,-0.516,41.48,-16.5,-20.72,249.12,-5.69,5.04,469,2020-06-18 18:46:01:400
2.3236,0.5766,11.126,-0.8237,0.7683,9.7417,3.1538,-0.2278,1.4272,-0.2039,0.0468,-0.7621,41.48,-16.5,-20.72,249.12,-5.69,5.04,478,2020-06-18 18:46:01:409
2.12,0.2245,12.1201,-0.8237,0.7683,9.7417,3.1538,-0.2278,1.4272,-0.2039,0.0468,-0.7621,41.48,-16.5,-20.72,249.12,-5.69,5.04,489,2020-06-18 18:46:01:420
2.12,0.2245,12.1201,-0.8237,0.7683,9.7417,2.8741,-0.5179,2.4064,-0.2039,0.0468,-0.7621,43.33,-15.01,-21.78,252.47,-4.49,4.83,498,2020-06-18 18:46:01:429
2.12,0.2245,12.1201,-0.7459,0.7521,9.7493,2.8741,-0.5179,2.4064,0.3091,-0.6003,-1.0444,43.33,-15.01,-21.78,252.47,-4.49,4.83,509,2020-06-18 18:46:01:440
2.1344,-0.0678,11.1787,-0.7459,0.7521,9.7493,2.8741,-0.5179,2.4064,0.3091,-0.6003,-1.0444,43.33,-15.01,-21.78,252.47,-4.49,4.83,518,2020-06-18 18:46:01:449
2.1344,-0.0678,11.1787,-0.7459,0.7521,9.7493,2.7919,-0.9675,0.9388,0.3091,-0.6003,-1.0444,41.94,-13.12,-21.99,252.47,-4.49,4.83,529,2020-06-18 18:46:01:460
2.0553,-0.3529,10.0097,-0.5154,0.8347,9.7575,2.7919,-0.9675,0.9388,0.3091,-0.6003,-1.0444,41.94,-13.12,-21.99,252.47,-4.49,4.83,538,2020-06-18 18:46:01:469
2.0553,-0.3529,10.0097,-0.5154,0.8347,9.7575,2.7919,-0.9675,0.9388,0.5051,-0.8443,-1.3448,41.94,-13.12,-21.99,252.47,-4.49,4.83,549,2020-06-18 18:46:01:480
2.0553,-0.3529,10.0097,-0.5154,0.8347,9.7575,2.3107,-1.4383,0.2839,0.5051,-0.8443,-1.3448,39.94,-10.95,-22.68,257.16,-4.88,3.02,558,2020-06-18 18:46:01:489
1.4541,-0.2211,9.3078,-0.2692,0.9629,9.7556,2.3107,-1.4383,0.2839,0.5051,-0.8443,-1.3448,39.94,-10.95,-22.68,257.16,-4.88,3.02,569,2020-06-18 18:46:01:500
1.4541,-0.2211,9.3078,-0.2692,0.9629,9.7556,2.3107,-1.4383,0.2839,0.626,-0.8549,-1.4215,39.94,-10.95,-22.68,257.16,-4.88,3.02,578,2020-06-18 18:46:01:509
1.4541,-0.2211,9.3078,-0.2692,0.9629,9.7556,1.4596,-1.0452,-1.0602,0.626,-0.8549,-1.4215,39.94,-10.95,-22.68,257.16,-4.88,3.02,589,2020-06-18 18:46:01:520
1.2409,0.1742,8.225,-0.0739,1.1114,9.7432,1.4596,-1.0452,-1.0602,0.626,-0.8549,-1.4215,41.32,-9.78,-24.36,257.16,-4.88,3.02,598,2020-06-18 18:46:01:529
1.2409,0.1742,8.225,-0.0739,1.1114,9.7432,1.4596,-1.0452,-1.0602,0.2835,-0.4171,-1.5499,41.32,-9.78,-24.36,257.16,-4.88,3.02,609,2020-06-18 18:46:01:540
0.5773,0.2772,8.5652,-0.0739,1.1114,9.7432,0.6709,-0.6275,-1.4091,0.2835,-0.4171,-1.5499,41.32,-9.78,-24.36,257.16,-4.88,3.02,618,2020-06-18 18:46:01:549
0.5773,0.2772,8.5652,0.0116,1.1734,9.7362,0.6709,-0.6275,-1.4091,0.2835,-0.4171,-1.5499,41.32,-9.78,-24.36,257.16,-4.88,3.02,629,2020-06-18 18:46:01:560
0.5773,0.2772,8.5652,0.0116,1.1734,9.7362,0.6709,-0.6275,-1.4091,0.2835,-0.4171,-1.5499,39.63,-7.43,-23.5,264.17,-6.87,-0.07,638,2020-06-18 18:46:01:569
-0.1773,0.2532,9.521,0.0116,1.1734,9.7362,-0.0479,-0.8491,-0.3075,-0.0057,-0.3825,-1.5856,39.63,-7.43,-23.5,264.17,-6.87,-0.07,648,2020-06-18 18:46:01:579
-0.1773,0.2532,9.521,0.068,1.1674,9.7367,-0.0479,-0.8491,-0.3075,-0.0057,-0.3825,-1.5856,39.63,-7.43,-23.5,264.17,-6.87,-0.07,659,2020-06-18 18:46:01:590
-0.5629,0.3826,9.7989,0.068,1.1674,9.7367,-0.0479,-0.8491,-0.3075,-0.0057,-0.3825,-1.5856,39.32,-6.59,-26.31,264.17,-6.87,-0.07,668,2020-06-18 18:46:01:599
-0.5629,0.3826,9.7989,0.068,1.1674,9.7367,-0.6754,-0.8327,0.1464,0.0065,-0.4299,-1.5435,39.32,-6.59,-26.31,264.17,-6.87,-0.07,679,2020-06-18 18:46:01:610
-0.5629,0.3826,9.7989,0.1265,1.1661,9.7362,-0.6754,-0.8327,0.1464,0.0065,-0.4299,-1.5435,39.32,-6.59,-26.31,264.17,-6.87,-0.07,688,2020-06-18 18:46:01:619
-0.8384,0.2604,9.7534,0.1265,1.1661,9.7362,-0.6754,-0.8327,0.1464,0.0065,-0.4299,-1.5435,40.7,-2.58,-25.7,270.07,-6.83,-0.74,699,2020-06-18 18:46:01:630
-0.8384,0.2604,9.7534,0.1265,1.1661,9.7362,-1.0125,-0.9052,0.0863,-0.1474,-0.3969,-1.56,40.7,-2.58,-25.7,270.07,-6.83,-0.74,710,2020-06-18 18:46:01:641
-0.8384,0.2604,9.7534,0.1796,1.1327,9.7394,-1.0125,-0.9052,0.0863,-0.1474,-0.3969,-1.56,40.7,-2.58,-25.7,270.07,-6.83,-0.74,718,2020-06-18 18:46:01:649
-1.708,-0.2163,10.7427,0.1796,1.1327,9.7394,-1.0125,-0.9052,0.0863,-0.1474,-0.3969,-1.56,40.7,-2.58,-25.7,270.07,-6.83,-0.74,728,2020-06-18 18:46:01:659
-1.708,-0.2163,10.7427,0.1796,1.1327,9.7394,-2.0157,-1.2816,1.1804,-0.1474,-0.3969,-1.56,37.93,-1.78,-28.87,270.07,-6.83,-0.74,739,2020-06-18 18:46:01:670
-2.4122,-0.2307,11.0397,0.2124,1.0816,9.7445,-2.0157,-1.2816,1.1804,-0.0909,-0.3356,-1.4838,37.93,-1.78,-28.87,270.07,-6.83,-0.74,748,2020-06-18 18:46:01:679
-2.4122,-0.2307,11.0397,0.2124,1.0816,9.7445,-2.0157,-1.2816,1.1804,-0.0909,-0.3356,-1.4838,37.93,-1.78,-28.87,270.07,-6.83,-0.74,759,2020-06-18 18:46:01:690
-2.4122,-0.2307,11.0397,0.2124,1.0816,9.7445,-2.8877,-1.2328,1.2393,-0.0909,-0.3356,-1.4838,39.62,-0.54,-26.52,272.66,-6.33,-1.25,768,2020-06-18 18:46:01:699
-3.4926,0.0592,10.7068,0.1967,1.0794,9.7451,-2.8877,-1.2328,1.2393,0.0816,-0.1007,-1.282,39.62,-0.54,-26.52,272.66,-6.33,-1.25,779,2020-06-18 18:46:01:710
-3.4926,0.0592,10.7068,0.1967,1.0794,9.7451,-2.8877,-1.2328,1.2393,0.0816,-0.1007,-1.282,39.62,-0.54,-26.52,272.66,-6.33,-1.25,788,2020-06-18 18:46:01:719
-3.4926,0.0592,10.7068,0.1967,1.0794,9.7451,-3.9586,-0.9265,1.0293,0.0816,-0.1007,-1.282,39.62,2.99,-26.87,272.66,-6.33,-1.25,799,2020-06-18 18:46:01:730
-4.0508,0.1813,10.6253,0.1463,1.1002,9.7436,-3.9586,-0.9265,1.0293,0.153,-0.0981,-1.029,39.62,2.99,-26.87,272.66,-6.33,-1.25,808,2020-06-18 18:46:01:739
-4.0508,0.1813,10.6253,0.1463,1.1002,9.7436,-3.9586,-0.9265,1.0293,0.153,-0.0981,-1.029,39.62,2.99,-26.87,272.66,-6.33,-1.25,819,2020-06-18 18:46:01:750
-4.3574,0.5359,9.8731,0.0836,1.1358,9.7403,-4.3475,-0.7295,0.3387,0.153,-0.0981,-1.029,39.62,2.99,-26.87,272.66,-6.33,-1.25,828,2020-06-18 18:46:01:759
-4.3574,0.5359,9.8731,0.0836,1.1358,9.7403,-4.3475,-0.7295,0.3387,0.153,-0.0981,-1.029,38.08,2.64,-28.77,279.35,-6.65,-0.49,839,2020-06-18 18:46:01:770
