ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
2.072,-1.235,4.646,1.934,-3.915,-4.367,-0.457,-0.155,-0.112,-3.5,-40.8,-20.5
1.148,-1.041,4.552,1.934,-3.915,-4.367,-0.457,-0.155,-0.112,-3.5,-40.8,-20.5
1.148,-1.041,4.552,1.515,-3.319,-5.349,-0.457,-0.155,-0.112,-3.5,-40.8,-20.5
1.148,-1.041,4.552,1.515,-3.319,-5.349,-0.457,-0.155,-0.112,-2.9,-42.1,-21.4
1.586,-0.792,3.511,1.515,-3.319,-5.349,-0.402,-0.23,-0.001,-2.9,-42.1,-21.4
1.586,-0.792,3.511,2.128,-3.141,-5.601,-0.402,-0.23,-0.001,-2.9,-42.1,-21.4
1.586,-0.792,3.511,2.128,-3.141,-5.601,-0.402,-0.23,-0.001,-4.1,-40.3,-22.0
1.739,-1.266,4.268,2.128,-3.141,-5.601,-0.995,-0.511,-0.032,-4.1,-40.3,-22.0
1.739,-1.266,4.268,0.608,-3.125,-3.902,-0.995,-0.511,-0.032,-4.1,-40.3,-22.0
-0.929,-0.381,6.976,0.608,-3.125,-3.902,-0.995,-0.511,-0.032,-4.1,-39.8,-22.9
-0.929,-0.381,6.976,0.608,-3.125,-3.902,-1.781,-0.53,0.024,-4.1,-39.8,-22.9
-0.929,-0.381,6.976,-0.8440000000000001,-1.209,-0.313,-1.781,-0.53,0.024,-4.1,-39.8,-22.9
0.519,-0.12,9.252,-0.8440000000000001,-1.209,-0.313,-1.781,-0.53,0.024,-5.0,-38.8,-24.7
0.519,-0.12,9.252,-0.8440000000000001,-1.209,-0.313,-2.299,-0.504,0.648,-5.0,-38.8,-24.7
0.519,-0.12,9.252,1.557,-2.106,0.736,-2.299,-0.504,0.648,-5.0,-38.8,-24.7
0.813,-0.957,14.59,1.557,-2.106,0.736,-2.299,-0.504,0.648,-4.4,-37.0,-27.1
0.813,-0.957,14.59,1.557,-2.106,0.736,-2.299,-0.504,0.648,-4.4,-37.0,-27.1
0.813,-0.957,14.59,0.897,-1.204,16.427,-3.543,0.304,0.517,-4.4,-37.0,-27.1
0.813,-0.579,29.866,0.897,-1.204,16.427,-3.543,0.304,0.517,-6.2,-33.6,-31.3
0.591,-0.579,29.866,0.897,-1.204,16.427,-3.543,0.304,0.517,-6.2,-33.6,-31.3
0.591,-0.579,29.866,0.897,-1.204,16.427,-1.597,-0.385,-0.257,-6.2,-33.6,-31.3
-0.6729999999999999,1.7990000000000002,26.621,-0.773,2.184,19.458,-1.597,-0.385,-0.257,-6.2,-33.6,-31.3
-0.6729999999999999,1.7990000000000002,26.621,-0.773,2.184,19.458,-1.597,-0.385,-0.257,-6.5,-32.4,-33.4
-0.6729999999999999,1.7990000000000002,26.621,-0.773,2.184,19.458,-0.301,-0.5760000000000001,-0.15,-6.5,-32.4,-33.4
-0.12,2.787,22.879,-0.812,3.597,13.42,-0.301,-0.5760000000000001,-0.15,-6.5,-32.4,-33.4
-0.12,2.787,22.879,-0.812,3.597,13.42,-0.301,-0.5760000000000001,-0.15,-5.3,-32.9,-32.5
-0.12,2.787,22.879,-0.006,3.045,13.64,-0.301,0.09,-0.052000000000000005,-5.3,-32.9,-32.5
0.406,1.816,23.271,-0.006,3.045,13.64,0.013,0.09,-0.052000000000000005,-5.3,-32.9,-32.5
0.406,1.816,23.271,-0.006,3.045,13.64,0.013,0.09,-0.052000000000000005,-5.3,-32.9,-32.5
0.406,1.816,23.271,-0.491,1.892,11.31,0.013,0.09,-0.052000000000000005,-5.9,-33.4,-32.2
