ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.0299,-1.1706,5.3143,-0.1924,4.8642,8.5131,4.1235,-5.7685,-3.6658,2.521,0.0202,0.3249,23.4,10.46,-35.93,321.41,-20.96,2.03,2,2020-06-27 14:57:33:816
5.1348,-0.4762,4.3925,-0.1924,4.8642,8.5131,5.2004,-5.7834,-4.2884,2.3271,-0.1993,-0.0053,23.4,10.46,-35.93,321.41,-20.96,2.03,13,2020-06-27 14:57:33:827
5.1348,-0.4762,4.3925,-0.1924,4.8642,8.5131,5.2004,-5.7834,-4.2884,2.3271,-0.1993,-0.0053,23.4,10.46,-35.93,321.41,-20.96,2.03,22,2020-06-27 14:57:33:836
6.0506,0.2971,3.5294,-0.1103,5.4316,8.1643,5.2004,-5.7834,-4.2884,2.3271,-0.1993,-0.0053,23.4,10.46,-35.93,321.41,-20.96,2.03,33,2020-06-27 14:57:33:847
6.0506,0.2971,3.5294,-0.1103,5.4316,8.1643,6.1144,-5.4295,-4.8636,2.2025,-0.3303,-0.5177,23.4,10.46,-37.35,322.19,-33.63,0.77,42,2020-06-27 14:57:33:856
6.0506,0.2971,3.5294,-0.1103,5.4316,8.1643,6.1144,-5.4295,-4.8636,2.2025,-0.3303,-0.5177,23.4,10.46,-37.35,322.19,-33.63,0.77,52,2020-06-27 14:57:33:866
6.2493,0.4611,2.0558,-0.0823,5.8653,7.8589,6.1144,-5.4295,-4.8636,2.2025,-0.3303,-0.5177,23.4,10.46,-37.35,322.19,-33.63,0.77,63,2020-06-27 14:57:33:877
6.2493,0.4611,2.0558,-0.0823,5.8653,7.8589,6.317,-5.8087,-6.0348,2.0257,-0.6062,-1.1228,23.4,10.46,-37.35,322.19,-33.63,0.77,72,2020-06-27 14:57:33:886
6.2493,0.4611,2.0558,-0.0823,5.8653,7.8589,6.317,-5.8087,-6.0348,2.0257,-0.6062,-1.1228,23.56,5.91,-40.35,322.19,-33.63,0.77,83,2020-06-27 14:57:33:897
5.203,0.5892,1.2083,-0.1063,6.322,7.4961,6.317,-5.8087,-6.0348,2.0257,-0.6062,-1.1228,23.56,5.91,-40.35,322.19,-33.63,0.77,92,2020-06-27 14:57:33:906
5.203,0.5892,1.2083,-0.1063,6.322,7.4961,5.1129,-6.0755,-6.4637,2.0257,-0.6062,-1.1228,23.56,5.91,-40.35,322.19,-33.63,0.77,103,2020-06-27 14:57:33:917
5.203,0.5892,1.2083,-0.1063,6.322,7.4961,5.1129,-6.0755,-6.4637,1.6805,-0.9173,-1.6149,23.56,5.91,-40.35,322.19,-33.63,0.77,113,2020-06-27 14:57:33:927
3.4266,0.5712,0.3499,-0.187,6.6924,7.1657,5.1129,-6.0755,-6.4637,1.6805,-0.9173,-1.6149,16.06,8.54,-33.51,333.31,-43.03,1.49,122,2020-06-27 14:57:33:936
3.4266,0.5712,0.3499,-0.187,6.6924,7.1657,3.6343,-6.3827,-6.933,1.6805,-0.9173,-1.6149,16.06,8.54,-33.51,333.31,-43.03,1.49,133,2020-06-27 14:57:33:947
3.4266,0.5712,0.3499,-0.187,6.6924,7.1657,3.6343,-6.3827,-6.933,1.4004,-0.994,-1.7449,16.06,8.54,-33.51,333.31,-43.03,1.49,142,2020-06-27 14:57:33:956
2.7071,0.3569,-1.0112,-0.3126,6.9858,6.8754,3.6343,-6.3827,-6.933,1.4004,-0.994,-1.7449,16.06,8.54,-33.51,333.31,-43.03,1.49,153,2020-06-27 14:57:33:967
