ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.3787,1.9239,-3.1288,-0.4404,7.3596,6.4663,3.8644,-5.4898,-9.5588,0.8307,0.7609,-0.1638,11.86,7.58,-38.72,344.65,-42.93,2.4,11,2020-06-14 01:07:44:129
3.3787,1.9239,-3.1288,-0.4404,7.3596,6.4663,3.8644,-5.4898,-9.5588,0.8307,0.7609,-0.1638,11.86,7.58,-38.72,344.65,-42.93,2.4,21,2020-06-14 01:07:44:139
3.6348,1.7635,-4.0458,-0.5999,7.5126,6.2746,4.2218,-5.7227,-10.4147,0.8307,0.7609,-0.1638,11.86,7.58,-38.72,344.65,-42.93,2.4,31,2020-06-14 01:07:44:149
3.6348,1.7635,-4.0458,-0.5999,7.5126,6.2746,4.2218,-5.7227,-10.4147,0.2235,0.5201,-0.3459,14.33,7.54,-41.58,345.41,-50.0,5.46,41,2020-06-14 01:07:44:159
3.3547,1.6247,-4.7389,-0.5999,7.5126,6.2746,4.2218,-5.7227,-10.4147,0.2235,0.5201,-0.3459,14.33,7.54,-41.58,345.41,-50.0,5.46,51,2020-06-14 01:07:44:169
3.3547,1.6247,-4.7389,-0.7419,7.5445,6.221,4.034,-5.929,-10.903,0.2235,0.5201,-0.3459,14.33,7.54,-41.58,345.41,-50.0,5.46,61,2020-06-14 01:07:44:179
3.3547,1.6247,-4.7389,-0.7419,7.5445,6.221,4.034,-5.929,-10.903,-0.4157,0.0237,-0.5111,14.33,7.54,-41.58,345.41,-50.0,5.46,71,2020-06-14 01:07:44:189
3.5642,0.9806,-5.0921,-0.7419,7.5445,6.221,4.034,-5.929,-10.903,-0.4157,0.0237,-0.5111,13.53,6.92,-38.75,345.41,-50.0,5.46,81,2020-06-14 01:07:44:199
3.5642,0.9806,-5.0921,-0.8171,7.4479,6.327,4.6476,-6.7105,-11.6291,-0.4157,0.0237,-0.5111,13.53,6.92,-38.75,345.41,-50.0,5.46,90,2020-06-14 01:07:44:208
3.5642,0.9806,-5.0921,-0.8171,7.4479,6.327,4.6476,-6.7105,-11.6291,-1.2785,-0.5782,-0.6187,13.53,6.92,-38.75,345.41,-50.0,5.46,101,2020-06-14 01:07:44:219
4.2873,0.0337,-5.5111,-0.8171,7.4479,6.327,4.6476,-6.7105,-11.6291,-1.2785,-0.5782,-0.6187,13.53,6.92,-38.75,345.41,-50.0,5.46,111,2020-06-14 01:07:44:229
4.2873,0.0337,-5.5111,-0.7907,7.155,6.6597,5.5372,-7.1574,-11.6472,-1.2785,-0.5782,-0.6187,16.59,8.87,-34.19,339.31,-49.42,7.36,121,2020-06-14 01:07:44:239
5.4497,-0.7839,-4.545,-0.7907,7.155,6.6597,5.5372,-7.1574,-11.6472,-2.511,-1.1587,-0.787,16.59,8.87,-34.19,339.31,-49.42,7.36,131,2020-06-14 01:07:44:249
5.4497,-0.7839,-4.545,-0.7907,7.155,6.6597,5.5372,-7.1574,-11.6472,-2.511,-1.1587,-0.787,16.59,8.87,-34.19,339.31,-49.42,7.36,141,2020-06-14 01:07:44:259
5.4497,-0.7839,-4.545,-0.6967,6.6947,7.132,6.5505,-7.6969,-11.0118,-2.511,-1.1587,-0.787,16.59,8.87,-34.19,339.31,-49.42,7.36,151,2020-06-14 01:07:44:269
6.0721,-1.8314,-3.7286,-0.6967,6.6947,7.132,6.5505,-7.6969,-11.0118,-3.6807,-1.588,-1.2866,14.75,14.05,-34.72,339.31,-49.42,7.36,161,2020-06-14 01:07:44:279
6.0721,-1.8314,-3.7286,-0.5266,5.8332,7.8655,6.5505,-7.6969,-11.0118,-3.6807,-1.588,-1.2866,14.75,14.05,-34.72,339.31,-49.42,7.36,171,2020-06-14 01:07:44:289
6.0721,-1.8314,-3.7286,-0.5266,5.8332,7.8655,7.1842,-8.2282,-10.3055,-3.6807,-1.588,-1.2866,14.75,14.05,-34.72,339.31,-49.42,7.36,181,2020-06-14 01:07:44:299
7.0969,-3.5684,-2.2921,-0.5266,5.8332,7.8655,7.1842,-8.2282,-10.3055,-4.9207,-2.5084,-1.7255,14.75,14.05,-34.72,339.31,-49.42,7.36,191,2020-06-14 01:07:44:309
7.0969,-3.5684,-2.2921,-0.0926,4.5586,8.6822,7.1842,-8.2282,-10.3055,-4.9207,-2.5084,-1.7255,12.07,19.89,-33.09,344.87,-36.5,3.83,201,2020-06-14 01:07:44:319
8.6196,-5.1018,-0.2522,-0.0926,4.5586,8.6822,8.3741,-8.764,-8.7405,-4.9207,-2.5084,-1.7255,12.07,19.89,-33.09,344.87,-36.5,3.83,212,2020-06-14 01:07:44:330
8.6196,-5.1018,-0.2522,-0.0926,4.5586,8.6822,8.3741,-8.764,-8.7405,-6.5196,-4.1351,-2.1431,12.07,19.89,-33.09,344.87,-36.5,3.83,222,2020-06-14 01:07:44:340
8.6196,-5.1018,-0.2522,-0.0926,4.5586,8.6822,8.3741,-8.764,-8.7405,-6.5196,-4.1351,-2.1431,12.07,19.89,-33.09,344.87,-36.5,3.83,231,2020-06-14 01:07:44:349
11.7464,-8.8416,5.5992,0.8539,2.7341,9.379,8.3741,-8.764,-8.7405,-6.5196,-4.1351,-2.1431,5.92,30.3,-28.44,344.87,-36.5,3.83,241,2020-06-14 01:07:44:359
11.7464,-8.8416,5.5992,0.8539,2.7341,9.379,10.6909,-10.8908,-2.7494,-8.1932,-4.0807,-3.1796,5.92,30.3,-28.44,344.87,-36.5,3.83,251,2020-06-14 01:07:44:369
11.7464,-8.8416,5.5992,1.7698,0.8299,9.6099,10.6909,-10.8908,-2.7494,-8.1932,-4.0807,-3.1796,5.92,30.3,-28.44,344.87,-36.5,3.83,261,2020-06-14 01:07:44:379
11.1371,-14.6894,17.8599,1.7698,0.8299,9.6099,10.6909,-10.8908,-2.7494,-8.1932,-4.0807,-3.1796,5.92,30.3,-28.44,344.87,-36.5,3.83,271,2020-06-14 01:07:44:389
11.1371,-14.6894,17.8599,1.7698,0.8299,9.6099,8.4281,-15.3929,10.8907,-7.7234,-3.1039,-4.2608,-6.18,47.42,-15.58,3.56,-4.85,-10.43,281,2020-06-14 01:07:44:399
11.1371,-14.6894,17.8599,2.775,-1.2763,9.3188,8.4281,-15.3929,10.8907,-7.7234,-3.1039,-4.2608,-6.18,47.42,-15.58,3.56,-4.85,-10.43,291,2020-06-14 01:07:44:409
4.8739,-18.4423,31.6386,2.775,-1.2763,9.3188,8.4281,-15.3929,10.8907,-7.7234,-3.1039,-4.2608,-6.18,47.42,-15.58,3.56,-4.85,-10.43,301,2020-06-14 01:07:44:419
4.8739,-18.4423,31.6386,2.775,-1.2763,9.3188,-0.8445,-15.718,27.4587,-5.0815,-3.2456,-2.7545,-17.03,51.45,-3.99,3.56,-4.85,-10.43,311,2020-06-14 01:07:44:429
1.5435,-16.5102,39.0917,3.7493,-2.5978,8.6813,-0.8445,-15.718,27.4587,-5.0815,-3.2456,-2.7545,-17.03,51.45,-3.99,3.56,-4.85,-10.43,321,2020-06-14 01:07:44:439
1.5435,-16.5102,39.0917,3.7493,-2.5978,8.6813,-0.8445,-15.718,27.4587,-5.0815,-3.2456,-2.7545,-17.03,51.45,-3.99,3.56,-4.85,-10.43,331,2020-06-14 01:07:44:449
1.5435,-16.5102,39.0917,3.7493,-2.5978,8.6813,-1.8537,-12.7857,30.8832,-2.1297,-1.8501,-1.2248,-17.03,51.45,-3.99,3.56,-4.85,-10.43,341,2020-06-14 01:07:44:459
1.929,-14.602,36.5407,4.3403,-3.1383,8.2148,-1.8537,-12.7857,30.8832,-2.1297,-1.8501,-1.2248,-17.03,51.45,-3.99,3.56,-4.85,-10.43,351,2020-06-14 01:07:44:469
1.929,-14.602,36.5407,4.3403,-3.1383,8.2148,-1.8537,-12.7857,30.8832,-2.1297,-1.8501,-1.2248,-17.92,53.45,3.9,20.08,18.66,-27.85,361,2020-06-14 01:07:44:479
1.929,-14.602,36.5407,4.3403,-3.1383,8.2148,-4.2027,-9.0534,24.5161,-2.1297,-1.8501,-1.2248,-17.92,53.45,3.9,20.08,18.66,-27.85,370,2020-06-14 01:07:44:488
-0.5801,-10.4768,30.8365,4.3637,-3.2812,8.1463,-4.2027,-9.0534,24.5161,-0.5541,0.3092,-0.085,-17.92,53.45,3.9,20.08,18.66,-27.85,381,2020-06-14 01:07:44:499
-0.5801,-10.4768,30.8365,4.3637,-3.2812,8.1463,-4.2027,-9.0534,24.5161,-0.5541,0.3092,-0.085,-17.92,53.45,3.9,20.08,18.66,-27.85,391,2020-06-14 01:07:44:509
-0.1348,-6.2642,25.6112,4.3637,-3.2812,8.1463,-4.4193,-3.4558,18.0897,-0.5541,0.3092,-0.085,-22.81,52.19,4.61,20.08,18.66,-27.85,401,2020-06-14 01:07:44:519
-0.1348,-6.2642,25.6112,3.9517,-3.3546,8.3247,-4.4193,-3.4558,18.0897,0.4781,1.513,1.0858,-22.81,52.19,4.61,20.08,18.66,-27.85,411,2020-06-14 01:07:44:529
-0.1348,-6.2642,25.6112,3.9517,-3.3546,8.3247,-4.4193,-3.4558,18.0897,0.4781,1.513,1.0858,-22.81,52.19,4.61,20.08,18.66,-27.85,421,2020-06-14 01:07:44:539
2.482,-4.2172,19.488,3.9517,-3.3546,8.3247,-1.1929,-0.981,11.017,0.4781,1.513,1.0858,-22.81,52.19,4.61,20.08,18.66,-27.85,431,2020-06-14 01:07:44:549
2.482,-4.2172,19.488,3.3943,-3.2222,8.6178,-1.1929,-0.981,11.017,1.4262,1.3095,1.3191,-18.78,41.87,1.32,25.59,19.18,-21.5,441,2020-06-14 01:07:44:559
2.482,-4.2172,19.488,3.3943,-3.2222,8.6178,-1.1929,-0.981,11.017,1.4262,1.3095,1.3191,-18.78,41.87,1.32,25.59,19.18,-21.5,451,2020-06-14 01:07:44:569
3.4565,-3.4367,13.9466,3.0751,-2.929,8.8394,0.366,-0.4689,5.1031,1.4262,1.3095,1.3191,-18.78,41.87,1.32,25.59,19.18,-21.5,461,2020-06-14 01:07:44:579
3.4565,-3.4367,13.9466,3.0751,-2.929,8.8394,0.366,-0.4689,5.1031,1.8821,0.7321,0.7172,-18.78,41.87,1.32,25.59,19.18,-21.5,470,2020-06-14 01:07:44:588
3.4565,-3.4367,13.9466,3.0751,-2.929,8.8394,0.366,-0.4689,5.1031,1.8821,0.7321,0.7172,-16.23,39.89,-2.32,25.59,19.18,-21.5,481,2020-06-14 01:07:44:599
1.4801,-3.5205,10.3709,2.8079,-2.4916,9.0597,-1.4593,-0.984,1.016,1.8821,0.7321,0.7172,-16.23,39.89,-2.32,25.59,19.18,-21.5,490,2020-06-14 01:07:44:608
1.4801,-3.5205,10.3709,2.8079,-2.4916,9.0597,-1.4593,-0.984,1.016,1.6499,0.8706,0.6085,-16.23,39.89,-2.32,25.59,19.18,-21.5,501,2020-06-14 01:07:44:619
0.5918,-4.4638,8.6925,2.8079,-2.4916,9.0597,-1.4593,-0.984,1.016,1.6499,0.8706,0.6085,-16.23,39.89,-2.32,25.59,19.18,-21.5,511,2020-06-14 01:07:44:629
0.5918,-4.4638,8.6925,2.4692,-2.1628,9.241,-2.255,-2.4336,-0.8057,1.6499,0.8706,0.6085,-16.26,40.52,-5.14,20.34,14.72,-17.22,521,2020-06-14 01:07:44:639
0.5918,-4.4638,8.6925,2.4692,-2.1628,9.241,-2.255,-2.4336,-0.8057,1.1236,1.2371,0.8141,-16.26,40.52,-5.14,20.34,14.72,-17.22,532,2020-06-14 01:07:44:650
-1.0231,-4.7607,8.7452,2.4692,-2.1628,9.241,-2.255,-2.4336,-0.8057,1.1236,1.2371,0.8141,-16.26,40.52,-5.14,20.34,14.72,-17.22,541,2020-06-14 01:07:44:659
-1.0231,-4.7607,8.7452,2.0178,-1.9511,9.3964,-3.1682,-2.8632,-0.8385,1.1236,1.2371,0.8141,-16.26,40.52,-5.14,20.34,14.72,-17.22,551,2020-06-14 01:07:44:669
-1.0231,-4.7607,8.7452,2.0178,-1.9511,9.3964,-3.1682,-2.8632,-0.8385,1.0757,1.3052,1.3798,-12.96,40.48,-8.01,20.34,14.72,-17.22,561,2020-06-14 01:07:44:679
-0.9752,-5.2862,8.3932,2.0178,-1.9511,9.3964,-3.1682,-2.8632,-0.8385,1.0757,1.3052,1.3798,-12.96,40.48,-8.01,20.34,14.72,-17.22,572,2020-06-14 01:07:44:690
-0.9752,-5.2862,8.3932,1.6379,-1.7802,9.5036,-2.5492,-3.5855,-1.5092,1.0757,1.3052,1.3798,-12.96,40.48,-8.01,20.34,14.72,-17.22,581,2020-06-14 01:07:44:699
-0.5945,-5.5232,7.3697,1.6379,-1.7802,9.5036,-2.5492,-3.5855,-1.5092,1.1087,1.0836,1.791,-12.96,40.48,-8.01,20.34,14.72,-17.22,591,2020-06-14 01:07:44:709
-0.5945,-5.5232,7.3697,1.6379,-1.7802,9.5036,-2.5492,-3.5855,-1.5092,1.1087,1.0836,1.791,8.25,17.17,-22.75,317.46,10.46,-9.78,601,2020-06-14 01:07:44:719
-0.5945,-5.5232,7.3697,1.1502,-1.5522,9.6145,-1.7483,-3.8124,-2.8252,1.1087,1.0836,1.791,8.25,17.17,-22.75,317.46,10.46,-9.78,611,2020-06-14 01:07:44:729
-0.9441,-5.4646,7.0525,1.1502,-1.5522,9.6145,-1.7483,-3.8124,-2.8252,0.8286,1.1465,1.8325,8.25,17.17,-22.75,317.46,10.46,-9.78,621,2020-06-14 01:07:44:739
-0.9441,-5.4646,7.0525,1.1502,-1.5522,9.6145,-1.7483,-3.8124,-2.8252,0.8286,1.1465,1.8325,13.19,17.13,-24.21,317.46,10.46,-9.78,631,2020-06-14 01:07:44:749
-0.9441,-5.4646,7.0525,0.7479,-1.4044,9.6767,-2.0983,-4.0236,-2.4538,0.8286,1.1465,1.8325,13.19,17.13,-24.21,317.46,10.46,-9.78,641,2020-06-14 01:07:44:759
-1.3044,-5.5627,7.3829,0.7479,-1.4044,9.6767,-2.0983,-4.0236,-2.4538,0.8264,0.6416,1.9518,13.19,17.13,-24.21,317.46,10.46,-9.78,651,2020-06-14 01:07:44:769
-1.3044,-5.5627,7.3829,0.7479,-1.4044,9.6767,-2.0983,-4.0236,-2.4538,0.8264,0.6416,1.9518,13.19,17.13,-24.21,317.46,10.46,-9.78,661,2020-06-14 01:07:44:779
-2.3758,-4.6469,6.7712,0.5225,-1.2171,9.7168,-2.4613,-3.8625,-2.8567,0.8264,0.6416,1.9518,16.46,17.75,-24.93,317.46,10.46,-9.78,671,2020-06-14 01:07:44:789
-2.3758,-4.6469,6.7712,0.5225,-1.2171,9.7168,-2.4613,-3.8625,-2.8567,1.0331,0.1771,2.1777,16.46,17.75,-24.93,310.65,7.13,-3.08,681,2020-06-14 01:07:44:799
-2.3758,-4.6469,6.7712,0.5225,-1.2171,9.7168,-2.4613,-3.8625,-2.8567,1.0331,0.1771,2.1777,16.46,17.75,-24.93,310.65,7.13,-3.08,691,2020-06-14 01:07:44:809
-3.2545,-3.0788,5.209,0.3784,-0.9824,9.75,-3.6297,-2.1428,-4.4885,1.0331,0.1771,2.1777,16.46,17.75,-24.93,310.65,7.13,-3.08,701,2020-06-14 01:07:44:819
-3.2545,-3.0788,5.209,0.3784,-0.9824,9.75,-3.6297,-2.1428,-4.4885,1.3687,0.7108,3.1162,18.94,17.72,-27.08,310.65,7.13,-3.08,711,2020-06-14 01:07:44:829
-3.2545,-3.0788,5.209,0.3784,-0.9824,9.75,-3.6297,-2.1428,-4.4885,1.3687,0.7108,3.1162,18.94,17.72,-27.08,310.65,7.13,-3.08,721,2020-06-14 01:07:44:839
-1.1105,-2.9303,1.0227,0.065,-0.6443,9.7852,-1.5022,-2.3045,-8.3929,1.3687,0.7108,3.1162,18.94,17.72,-27.08,310.65,7.13,-3.08,731,2020-06-14 01:07:44:849
-1.1105,-2.9303,1.0227,0.065,-0.6443,9.7852,-1.5022,-2.3045,-8.3929,0.591,0.8536,3.7287,18.94,17.72,-27.08,310.65,7.13,-3.08,741,2020-06-14 01:07:44:859
1.5208,-2.3964,-0.4593,0.065,-0.6443,9.7852,-1.5022,-2.3045,-8.3929,0.591,0.8536,3.7287,18.21,32.71,-31.3,329.49,3.77,-0.38,751,2020-06-14 01:07:44:869
1.5208,-2.3964,-0.4593,-0.2176,-0.5444,9.7891,1.6207,-1.8724,-10.2661,0.591,0.8536,3.7287,18.21,32.71,-31.3,329.49,3.77,-0.38,761,2020-06-14 01:07:44:879
1.5208,-2.3964,-0.4593,-0.2176,-0.5444,9.7891,1.6207,-1.8724,-10.2661,-1.2934,0.0567,3.587,18.21,32.71,-31.3,329.49,3.77,-0.38,771,2020-06-14 01:07:44:889
2.5072,-1.3154,0.7605,-0.2176,-0.5444,9.7891,1.6207,-1.8724,-10.2661,-1.2934,0.0567,3.587,18.21,32.71,-31.3,329.49,3.77,-0.38,781,2020-06-14 01:07:44:899
2.5072,-1.3154,0.7605,-0.2981,-0.9206,9.7588,2.98,-0.1222,-8.3349,-1.2934,0.0567,3.587,18.21,32.71,-31.3,329.49,3.77,-0.38,791,2020-06-14 01:07:44:909
2.5072,-1.3154,0.7605,-0.2981,-0.9206,9.7588,2.98,-0.1222,-8.3349,-2.5952,0.093,3.1332,24.82,32.04,-28.53,329.49,3.77,-0.38,801,2020-06-14 01:07:44:919
3.1536,-0.742,3.8191,-0.3935,-1.5148,9.681,2.98,-0.1222,-8.3349,-2.5952,0.093,3.1332,24.82,32.04,-28.53,329.49,3.77,-0.38,811,2020-06-14 01:07:44:929
3.1536,-0.742,3.8191,-0.3935,-1.5148,9.681,3.6276,0.9473,-5.0248,-2.5952,0.093,3.1332,24.82,32.04,-28.53,329.49,3.77,-0.38,821,2020-06-14 01:07:44:939
3.2973,-0.2691,6.5892,-0.3935,-1.5148,9.681,3.6276,0.9473,-5.0248,-3.0501,0.3625,2.7295,24.82,32.04,-28.53,329.49,3.77,-0.38,831,2020-06-14 01:07:44:949
3.2973,-0.2691,6.5892,-0.623,-2.3339,9.5045,3.6276,0.9473,-5.0248,-3.0501,0.3625,2.7295,29.81,30.75,-24.35,312.67,8.89,2.33,841,2020-06-14 01:07:44:959
3.2973,-0.2691,6.5892,-0.623,-2.3339,9.5045,4.3688,2.469,-1.41,-3.0501,0.3625,2.7295,29.81,30.75,-24.35,312.67,8.89,2.33,851,2020-06-14 01:07:44:969
4.4106,0.0217,8.8948,-0.623,-2.3339,9.5045,4.3688,2.469,-1.41,-2.8349,-0.2074,2.3662,29.81,30.75,-24.35,312.67,8.89,2.33,861,2020-06-14 01:07:44:979
4.4106,0.0217,8.8948,-0.747,-3.0807,9.2802,4.3688,2.469,-1.41,-2.8349,-0.2074,2.3662,31.46,30.77,-20.09,312.67,8.89,2.33,871,2020-06-14 01:07:44:989
4.4106,0.0217,8.8948,-0.747,-3.0807,9.2802,7.6359,1.7768,1.7536,-2.8349,-0.2074,2.3662,31.46,30.77,-20.09,312.67,8.89,2.33,881,2020-06-14 01:07:44:999
7.3949,-2.2001,12.1498,-0.747,-3.0807,9.2802,7.6359,1.7768,1.7536,-2.4492,-0.7731,0.9867,31.46,30.77,-20.09,312.67,8.89,2.33,891,2020-06-14 01:07:45:009
7.3949,-2.2001,12.1498,-0.6216,-3.7326,9.0472,7.6359,1.7768,1.7536,-2.4492,-0.7731,0.9867,31.46,30.77,-20.09,312.67,8.89,2.33,901,2020-06-14 01:07:45:019
5.7453,-2.6669,15.5052,-0.6216,-3.7326,9.0472,6.9092,1.3778,5.4252,-2.4492,-0.7731,0.9867,34.88,27.52,-18.8,297.86,22.37,3.93,911,2020-06-14 01:07:45:029
5.7453,-2.6669,15.5052,-0.6216,-3.7326,9.0472,6.9092,1.3778,5.4252,-2.4492,-0.7731,0.9867,34.88,27.52,-18.8,297.86,22.37,3.93,921,2020-06-14 01:07:45:039
5.7453,-2.6669,15.5052,-0.4326,-4.1263,8.8858,6.9092,1.3778,5.4252,-1.4554,-0.9808,0.5468,34.88,27.52,-18.8,297.86,22.37,3.93,931,2020-06-14 01:07:45:049
6.7018,-4.4781,17.5463,-0.4326,-4.1263,8.8858,6.2623,0.3043,8.5854,-1.4554,-0.9808,0.5468,34.88,27.52,-18.8,297.86,22.37,3.93,941,2020-06-14 01:07:45:059
6.7018,-4.4781,17.5463,-0.4326,-4.1263,8.8858,6.2623,0.3043,8.5854,-1.4554,-0.9808,0.5468,19.37,33.49,-0.17,297.86,22.37,3.93,951,2020-06-14 01:07:45:069
6.7018,-4.4781,17.5463,-0.1743,-4.3086,8.8077,6.2623,0.3043,8.5854,-0.3454,-1.0085,0.3902,19.37,33.49,-0.17,297.86,22.37,3.93,961,2020-06-14 01:07:45:079
9.0888,-5.218,17.0471,-0.1743,-4.3086,8.8077,8.9413,-0.8887,8.3089,-0.3454,-1.0085,0.3902,19.37,33.49,-0.17,297.86,22.37,3.93,971,2020-06-14 01:07:45:089
9.0888,-5.218,17.0471,-0.1743,-4.3086,8.8077,8.9413,-0.8887,8.3089,-0.3454,-1.0085,0.3902,19.37,33.49,-0.17,297.86,22.37,3.93,981,2020-06-14 01:07:45:099
