ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-11.0596,-1.6147,12.613,-0.445,1.8659,9.6172,-10.4547,-3.4333,1.6163,-1.298,-0.5412,-1.1558,5.71,30.04,-28.43,352.32,-10.97,2.65,11,2020-06-27 15:45:08:539
-11.0596,-1.6147,12.613,-0.445,1.8659,9.6172,-10.4547,-3.4333,1.6163,-1.298,-0.5412,-1.1558,5.71,30.04,-28.43,352.32,-10.97,2.65,21,2020-06-27 15:45:08:549
-10.8022,-1.4603,13.8089,-0.4033,1.4721,9.6871,-10.5436,-3.0065,3.9768,-0.7185,-0.3537,0.0256,5.71,30.04,-28.43,352.32,-10.97,2.65,31,2020-06-27 15:45:08:559
-10.8022,-1.4603,13.8089,-0.4033,1.4721,9.6871,-10.5436,-3.0065,3.9768,-0.7185,-0.3537,0.0256,4.72,34.57,-28.27,352.32,-10.97,2.65,41,2020-06-27 15:45:08:569
-10.8022,-1.4603,13.8089,-0.4033,1.4721,9.6871,-10.5436,-3.0065,3.9768,-0.7185,-0.3537,0.0256,4.72,34.57,-28.27,352.32,-10.97,2.65,50,2020-06-27 15:45:08:578
-8.7551,-0.8354,13.4869,-0.3884,1.3266,9.7087,-8.4652,-2.2109,3.6387,-0.4766,-0.0192,0.9492,4.72,34.57,-28.27,352.32,-10.97,2.65,61,2020-06-27 15:45:08:589
-8.7551,-0.8354,13.4869,-0.3884,1.3266,9.7087,-8.4652,-2.2109,3.6387,-0.4766,-0.0192,0.9492,4.72,34.57,-28.27,352.32,-10.97,2.65,70,2020-06-27 15:45:08:598
-8.7551,-0.8354,13.4869,-0.3884,1.3266,9.7087,-8.4652,-2.2109,3.6387,-0.4766,-0.0192,0.9492,15.7,27.5,-24.35,334.19,-7.77,2.29,81,2020-06-27 15:45:08:609
-6.4914,-0.0764,14.6433,-0.4767,1.1421,9.7283,-5.9203,-1.2094,4.7674,-0.4766,-0.0192,0.9492,15.7,27.5,-24.35,334.19,-7.77,2.29,90,2020-06-27 15:45:08:618
-6.4914,-0.0764,14.6433,-0.4767,1.1421,9.7283,-5.9203,-1.2094,4.7674,-0.5587,0.5208,1.4349,15.7,27.5,-24.35,334.19,-7.77,2.29,101,2020-06-27 15:45:08:629
-5.0836,0.5724,15.9254,-0.4767,1.1421,9.7283,-5.9203,-1.2094,4.7674,-0.5587,0.5208,1.4349,15.7,27.5,-24.35,334.19,-7.77,2.29,110,2020-06-27 15:45:08:638
-5.0836,0.5724,15.9254,-0.6237,1.0273,9.7327,-3.9204,-0.2711,6.4885,-0.5587,0.5208,1.4349,18.14,28.13,-24.35,334.19,-7.77,2.29,121,2020-06-27 15:45:08:649
-5.0836,0.5724,15.9254,-0.6237,1.0273,9.7327,-3.9204,-0.2711,6.4885,-0.1933,0.4601,1.6469,18.14,28.13,-24.35,334.19,-7.77,2.29,130,2020-06-27 15:45:08:658
-3.434,1.3469,17.2267,-0.6237,1.0273,9.7327,-3.9204,-0.2711,6.4885,-0.1933,0.4601,1.6469,18.14,28.13,-24.35,334.19,-7.77,2.29,141,2020-06-27 15:45:08:669
-3.434,1.3469,17.2267,-0.6764,1.0514,9.7266,-2.111,0.4134,7.3337,-0.1933,0.4601,1.6469,18.14,28.13,-24.35,334.19,-7.77,2.29,151,2020-06-27 15:45:08:679
-3.434,1.3469,17.2267,-0.6764,1.0514,9.7266,-2.111,0.4134,7.3337,0.6674,0.0745,1.7961,19.82,27.48,-22.96,328.07,-6.15,3.98,160,2020-06-27 15:45:08:688
-1.1224,1.6031,16.7921,-0.6764,1.0514,9.7266,-2.111,0.4134,7.3337,0.6674,0.0745,1.7961,19.82,27.48,-22.96,328.07,-6.15,3.98,171,2020-06-27 15:45:08:699
-1.1224,1.6031,16.7921,-0.6502,1.2867,9.7001,-0.0087,0.2333,6.4417,0.6674,0.0745,1.7961,19.82,27.48,-22.96,328.07,-6.15,3.98,181,2020-06-27 15:45:08:709
-1.1224,1.6031,16.7921,-0.6502,1.2867,9.7001,-0.0087,0.2333,6.4417,1.3439,0.3472,1.6661,19.82,27.48,-22.96,328.07,-6.15,3.98,190,2020-06-27 15:45:08:718
0.3428,1.5457,14.9594,-0.6502,1.2867,9.7001,-0.0087,0.2333,6.4417,1.3439,0.3472,1.6661,23.16,26.16,-25.16,328.07,-6.15,3.98,201,2020-06-27 15:45:08:729
0.3428,1.5457,14.9594,-0.6502,1.2867,9.7001,-0.0087,0.2333,6.4417,1.3439,0.3472,1.6661,23.16,26.16,-25.16,328.07,-6.15,3.98,211,2020-06-27 15:45:08:739
1.4322,1.7264,12.7196,-0.6882,1.7841,9.6184,1.6849,-0.062,3.6286,1.607,0.7371,1.4328,23.16,26.16,-25.16,328.07,-6.15,3.98,221,2020-06-27 15:45:08:749
1.4322,1.7264,12.7196,-0.6882,1.7841,9.6184,1.6849,-0.062,3.6286,1.607,0.7371,1.4328,23.16,26.16,-25.16,328.07,-6.15,3.98,231,2020-06-27 15:45:08:759
1.4322,1.7264,12.7196,-0.6882,1.7841,9.6184,1.6849,-0.062,3.6286,1.607,0.7371,1.4328,23.32,21.61,-28.16,322.21,-10.48,4.09,241,2020-06-27 15:45:08:769
1.741,1.997,11.1897,-0.8398,2.3665,9.4797,2.6459,-0.5334,1.6147,1.7902,0.9225,1.1995,23.32,21.61,-28.16,322.21,-10.48,4.09,251,2020-06-27 15:45:08:779
1.741,1.997,11.1897,-0.8398,2.3665,9.4797,2.6459,-0.5334,1.6147,1.7902,0.9225,1.1995,23.32,21.61,-28.16,322.21,-10.48,4.09,260,2020-06-27 15:45:08:788
