ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT)
2.026,-0.297,7.9289999999999985,2.944,-1.181,-0.069,0.126,0.042,0.594,-7.9,-36.1,-20.8
2.026,-0.297,7.9289999999999985,4.128,-2.783,-3.478,0.126,0.042,0.594,-8.2,-36.7,-22.3
3.347,-1.692,5.371,4.128,-2.783,-3.478,-0.7290000000000001,0.551,0.174,-8.2,-36.7,-22.3
3.347,-1.692,5.371,4.128,-2.783,-3.478,-0.7290000000000001,0.551,0.174,-8.2,-36.7,-22.3
3.347,-1.692,5.371,4.447,-2.76,-1.291,-0.7290000000000001,0.551,0.174,-8.2,-35.6,-21.7
2.342,-0.424,9.455,4.447,-2.76,-1.291,-0.7290000000000001,0.551,0.174,-8.2,-35.6,-21.7
2.342,-0.424,9.455,2.756,-0.373,1.89,-0.995,0.569,-0.287,-8.2,-35.6,-21.7
1.725,0.914,11.827,2.756,-0.373,1.89,-0.995,0.569,-0.287,-7.6,-35.1,-23.2
1.725,0.914,11.827,2.756,-0.373,1.89,-0.995,0.569,-0.287,-7.6,-35.1,-23.2
1.725,0.914,11.827,4.873,-1.085,1.751,-1.472,-0.471,-0.128,-7.6,-35.1,-23.2
3.153,-0.706,11.597,4.873,-1.085,1.751,-1.472,-0.471,-0.128,-7.6,-35.1,-23.2
3.153,-0.706,11.597,4.873,-1.085,1.751,-1.472,-0.471,-0.128,-7.9,-33.4,-25.0
3.153,-0.706,11.597,3.215,-1.226,4.847,-1.5419999999999998,-0.083,-0.348,-7.9,-33.4,-25.0
1.419,-1.07,15.038,3.215,-1.226,4.847,-1.5419999999999998,-0.083,-0.348,-7.9,-33.4,-25.0
1.419,-1.07,15.038,3.215,-1.226,4.847,-1.5419999999999998,-0.083,-0.348,-7.3,-32.7,-26.2
1.419,-1.07,15.038,3.215,-1.226,4.847,-1.5419999999999998,-0.083,-0.348,-7.3,-32.7,-26.2
1.682,-1.68,15.105,3.089,-1.615,5.55,-0.908,0.18,-0.517,-7.3,-32.7,-26.2
1.682,-1.68,15.105,3.089,-1.615,5.55,-0.908,0.18,-0.517,-6.4,-32.0,-26.8
0.813,-1.431,14.959,3.089,-1.615,5.55,-0.908,0.18,-0.517,-6.4,-32.0,-26.8
0.813,-1.431,14.959,2.216,-1.088,5.334,-0.804,0.091,-1.088,-6.4,-32.0,-26.8
0.813,-1.431,14.959,2.216,-1.088,5.334,-0.804,0.091,-1.088,-6.4,-32.0,-26.8
0.225,-1.3090000000000002,15.782,2.216,-1.088,5.334,-0.804,0.091,-1.088,-4.3,-31.6,-28.6
0.225,-1.3090000000000002,15.782,1.123,-0.28800000000000003,6.43,-0.674,-0.227,-1.4240000000000002,-4.3,-31.6,-28.6
0.225,-1.3090000000000002,15.782,1.123,-0.28800000000000003,6.43,-0.674,-0.227,-1.4240000000000002,-4.3,-31.6,-28.6
-0.285,-0.524,15.677,1.123,-0.28800000000000003,6.43,-0.674,-0.227,-1.4240000000000002,-3.1,-31.8,-29.5
-0.285,-0.524,15.677,1.495,0.355,5.635,-0.003,-0.501,-1.47,-3.1,-31.8,-29.5
-0.285,-0.524,15.677,1.495,0.355,5.635,-0.003,-0.501,-1.47,-3.1,-31.8,-29.5
0.835,0.083,15.002,1.495,0.355,5.635,-0.003,-0.501,-1.47,-2.8,-32.3,-28.6
0.835,0.083,15.002,1.996,1.228,4.814,-0.003,-0.501,-1.47,-2.8,-32.3,-28.6
0.524,0.5379999999999999,12.863,1.996,1.228,4.814,0.463,-0.452,-1.702,-2.8,-32.3,-28.6
0.524,0.5379999999999999,12.863,1.996,1.228,4.814,0.463,-0.452,-1.702,-2.8,-32.3,-28.6
0.524,0.5379999999999999,12.863,0.515,1.3730000000000002,3.397,0.463,-0.452,-1.702,-1.3,-32.2,-28.9
-1.096,0.016,14.691,0.515,1.3730000000000002,3.397,0.165,-0.206,-1.6769999999999998,-1.3,-32.2,-28.9
-1.096,0.016,14.691,0.515,1.3730000000000002,3.397,0.165,-0.206,-1.6769999999999998,-1.3,-32.2,-28.9
-1.096,0.016,14.691,-0.848,0.036000000000000004,5.025,0.165,-0.206,-1.6769999999999998,0.5,-32.7,-28.6
-0.984,-0.967,14.224,-0.848,0.036000000000000004,5.025,0.302,-0.394,-1.449,0.5,-32.7,-28.6
-0.984,-0.967,14.224,-0.848,0.036000000000000004,5.025,0.302,-0.394,-1.449,0.5,-32.7,-28.6
-0.984,-0.967,14.224,-0.975,-0.081,3.837,0.302,-0.394,-1.449,0.5,-32.7,-27.1
-1.771,-0.682,13.863,-0.975,-0.081,3.837,0.402,-0.335,-1.335,1.4,-33.2,-27.1
-1.771,-0.682,13.863,-0.975,-0.081,3.837,0.402,-0.335,-1.335,1.4,-33.2,-27.1
-1.771,-0.682,13.863,-1.6769999999999998,-0.211,3.547,0.402,-0.335,-1.335,1.4,-33.2,-27.1
-2.338,-0.8190000000000001,13.542,-1.6769999999999998,-0.211,3.547,0.402,-0.335,-1.335,2.9,-33.5,-27.7
-2.338,-0.8190000000000001,13.542,-1.6769999999999998,-0.211,3.547,0.399,-0.397,-1.274,2.9,-33.5,-27.7
-2.338,-0.8190000000000001,13.542,-2.721,-0.398,3.821,0.399,-0.397,-1.274,2.9,-33.5,-27.7
-3.1830000000000003,-0.826,13.837,-2.721,-0.398,3.821,0.399,-0.397,-1.274,3.5,-33.7,-26.8
-3.1830000000000003,-0.826,13.837,-2.721,-0.398,3.821,0.721,-0.486,-0.959,3.5,-33.7,-26.8
-3.721,-0.752,12.985,-3.3480000000000003,-0.475,3.252,0.721,-0.486,-0.959,3.5,-33.7,-26.8
-3.721,-0.752,12.985,-3.3480000000000003,-0.475,3.252,0.721,-0.486,-0.959,3.5,-34.1,-27.4
-3.721,-0.752,12.985,-3.3480000000000003,-0.475,3.252,0.731,-0.555,-0.536,3.5,-34.1,-27.4
-3.716,-0.429,11.415,-3.588,-0.368,1.376,0.731,-0.555,-0.536,3.5,-34.1,-27.4
-3.716,-0.429,11.415,-3.588,-0.368,1.376,0.731,-0.555,-0.536,4.7,-34.2,-25.9
-3.716,-0.429,11.415,-3.588,-0.368,1.376,0.731,-0.555,-0.536,4.7,-34.2,-25.9
-3.585,-0.35,10.424,-3.976,-0.29,0.545,0.195,-0.451,-0.442,4.7,-34.2,-25.9
-3.585,-0.35,10.424,-3.976,-0.29,0.545,0.195,-0.451,-0.442,3.2,-34.9,-25.9
-5.083,-0.139,12.963,-3.976,-0.29,0.545,0.195,-0.451,-0.442,3.2,-34.9,-25.9
-5.083,-0.139,12.963,-5.024,-0.282,2.721,0.145,-0.32,-0.32,3.2,-34.9,-25.9
-5.083,-0.139,12.963,-5.024,-0.282,2.721,0.145,-0.32,-0.32,3.2,-35.1,-26.2
-4.456,-0.575,10.312,-5.024,-0.282,2.721,0.145,-0.32,-0.32,3.2,-35.1,-26.2
-4.456,-0.575,10.312,-4.7410000000000005,-0.754,-0.485,0.083,-0.5670000000000001,-0.182,3.2,-35.1,-26.2
-4.456,-0.575,10.312,-4.7410000000000005,-0.754,-0.485,0.083,-0.5670000000000001,-0.182,3.2,-35.1,-26.2
-4.561,-1.379,8.302,-4.994,-1.495,-1.5590000000000002,0.083,-0.5670000000000001,-0.182,4.1,-35.1,-26.2
-4.561,-1.379,8.302,-4.994,-1.495,-1.5590000000000002,-0.6559999999999999,-0.423,0.135,4.1,-35.1,-26.2
-4.561,-1.379,8.302,-4.994,-1.495,-1.5590000000000002,-0.6559999999999999,-0.423,0.135,4.1,-35.1,-26.2
-4.1610000000000005,-1.821,11.171,-4.994,-1.495,-1.5590000000000002,-0.6559999999999999,-0.423,0.135,3.2,-35.3,-25.9
-4.1610000000000005,-1.821,11.171,-4.435,-1.6469999999999998,1.461,-0.6559999999999999,-0.423,0.135,3.2,-35.3,-25.9
-4.1610000000000005,-1.821,11.171,-4.435,-1.6469999999999998,1.461,-0.032,-0.415,0.383,3.2,-35.3,-25.9
-4.087,-1.132,11.877,-4.435,-1.6469999999999998,1.461,-0.032,-0.415,0.383,1.7,-34.9,-26.5
-4.087,-1.132,11.877,-4.214,-0.72,1.279,-0.032,-0.415,0.383,1.7,-34.9,-26.5
-3.439,-0.247,9.625,-4.214,-0.72,1.279,1.031,-0.285,0.496,1.7,-34.9,-26.5
-3.439,-0.247,9.625,-3.957,-0.21600000000000005,-0.897,1.031,-0.285,0.496,2.0,-35.5,-25.0
-3.439,-0.247,9.625,-3.957,-0.21600000000000005,-0.897,1.031,-0.285,0.496,2.0,-35.5,-25.0
-2.688,-0.027000000000000003,7.175,-3.957,-0.21600000000000005,-0.897,1.098,0.022,0.4920000000000001,2.0,-35.5,-25.0
-2.688,-0.027000000000000003,7.175,-2.513,-0.387,-4.037,1.098,0.022,0.4920000000000001,2.0,-35.5,-25.0
-2.688,-0.027000000000000003,7.175,-2.513,-0.387,-4.037,1.098,0.022,0.4920000000000001,2.0,-36.7,-24.1
-1.683,0.16699999999999998,5.579,-2.513,-0.387,-4.037,1.098,0.022,0.4920000000000001,2.0,-36.7,-24.1
-1.683,0.16699999999999998,5.579,-2.172,-0.412,-3.623,0.244,0.468,0.35600000000000004,2.0,-36.7,-24.1
-1.683,0.16699999999999998,5.579,-2.172,-0.412,-3.623,0.244,0.468,0.35600000000000004,1.7,-36.7,-24.7
-2.092,0.457,7.127000000000002,-2.172,-0.412,-3.623,0.244,0.468,0.35600000000000004,1.7,-36.7,-24.7
-2.092,0.457,7.127000000000002,-2.206,-0.875,-2.994,-0.073,0.848,0.171,1.7,-36.7,-24.7
-2.092,0.457,7.127000000000002,-2.206,-0.875,-2.994,-0.073,0.848,0.171,2.6,-37.2,-23.8
-1.154,0.1,9.142,-2.206,-0.875,-2.994,-0.073,0.848,0.171,2.6,-37.2,-23.8
-1.154,0.1,9.142,-1.4380000000000002,-0.29600000000000004,-1.198,-0.138,0.789,0.3720000000000001,2.6,-37.2,-23.8
-1.154,0.1,9.142,-1.4380000000000002,-0.29600000000000004,-1.198,-0.138,0.789,0.3720000000000001,2.6,-37.2,-23.8
-1.192,-0.005,8.12,-1.4380000000000002,-0.29600000000000004,-1.198,-0.138,0.789,0.3720000000000001,2.0,-36.7,-23.5
-1.192,-0.005,8.12,-0.7340000000000001,-1.037,-1.587,-0.138,0.789,0.3720000000000001,2.0,-36.7,-23.5
-0.826,-0.457,8.934,-0.7340000000000001,-1.037,-1.587,0.18600000000000005,0.758,0.422,2.0,-36.7,-23.5
-0.826,-0.457,8.934,-0.353,-0.816,-1.149,0.18600000000000005,0.758,0.422,1.7,-36.7,-23.5
-0.826,-0.457,8.934,-0.353,-0.816,-1.149,0.18600000000000005,0.758,0.422,1.7,-36.7,-23.5
-0.768,0.158,8.498,-0.353,-0.816,-1.149,0.509,0.611,0.422,1.7,-36.7,-23.5
-0.768,0.158,8.498,0.377,-0.67,-1.252,0.509,0.611,0.422,2.6,-37.5,-23.2
-0.768,0.158,8.498,0.377,-0.67,-1.252,0.509,0.611,0.422,2.6,-37.5,-23.2
-0.319,0.079,8.352,0.377,-0.67,-1.252,0.628,0.872,0.648,2.6,-37.5,-23.2
-0.319,0.079,8.352,0.654,-0.7659999999999999,-1.974,0.628,0.872,0.648,2.0,-37.7,-23.5
-0.319,0.079,8.352,0.654,-0.7659999999999999,-1.974,0.628,0.872,0.648,2.0,-37.7,-23.5
0.038,0.15,7.431,0.654,-0.7659999999999999,-1.974,0.441,0.623,0.687,2.0,-37.7,-23.5
0.038,0.15,7.431,1.433,-1.032,-2.351,0.441,0.623,0.687,2.6,-38.0,-21.7
0.038,0.15,7.431,1.433,-1.032,-2.351,0.441,0.623,0.687,2.6,-38.0,-21.7
0.617,0.277,7.917000000000002,1.433,-1.032,-2.351,0.441,0.623,0.687,2.6,-38.0,-21.7
0.617,0.277,7.917000000000002,1.856,-0.517,-1.609,0.21600000000000005,0.413,0.6679999999999999,1.1,-37.4,-22.3
0.617,0.277,7.917000000000002,1.856,-0.517,-1.609,0.21600000000000005,0.413,0.6679999999999999,1.1,-37.4,-22.3
0.878,0.7490000000000001,8.529,1.856,-0.517,-1.609,0.21600000000000005,0.413,0.6679999999999999,1.1,-37.4,-22.3
0.878,0.7490000000000001,8.529,2.088,-0.539,-1.289,0.162,0.109,0.6729999999999999,1.1,-37.4,-22.3
1.112,0.713,7.905,2.088,-0.539,-1.289,0.162,0.109,0.6729999999999999,0.2,-38.2,-20.2
1.112,0.713,7.905,2.088,-0.539,-1.289,0.162,0.109,0.6729999999999999,0.2,-38.2,-20.2
1.112,0.713,7.905,2.662,-0.745,-2.57,-0.094,-0.321,0.5329999999999999,0.2,-38.2,-20.2
1.251,0.6940000000000001,6.497999999999998,2.662,-0.745,-2.57,-0.094,-0.321,0.5329999999999999,0.2,-38.2,-20.2
1.251,0.6940000000000001,6.497999999999998,2.662,-0.745,-2.57,-0.094,-0.321,0.5329999999999999,-0.7,-37.7,-20.5
